view,grouped-CV AUC,accuracy@0.5
user turns,0.9999553495899263,0.9975166541842406
assistant turns,0.974793849044101,0.9212424612716308
full conversation,0.9998495833803294,0.9942843628049982
first user turn,0.9095737427894686,0.8490283416768497
last user turn,0.9881902906821002,0.9575071938192282
"user: no punctuation, no label stems",0.9999045561293545,0.9960581812448264
user: + no 'I'll'/'I will' phrases,0.9998033090901035,0.9941266900547913
