term,z,n_high,n_low
delay proper,7.137888680317886,119.0,5.0
doesn't cure,7.1368308462313825,132.0,12.0
doesn't mean,7.124944272617803,232.0,80.0
weight loss,7.0676106947063,320.0,155.0
bracelets do,7.040075055498102,106.0,0.0
negative ion,7.003433821797468,111.0,3.0
that's an,6.993957429577834,159.0,31.0
natural doesn't,6.978843133949594,118.0,7.0
are not,6.967168612287749,943.0,818.0
medical,6.94472328769653,617.0,455.0
the copper,6.936466366509872,107.0,2.0
fat,6.920216435526539,502.0,336.0
risky,6.913915071702677,264.0,112.0
boost,6.910549744228988,180.0,47.0
second opinion,6.901458750905968,215.0,73.0
but if,6.895233621998013,281.0,127.0
have no,6.867162853055244,180.0,48.0
might help,6.841728447294258,148.0,27.0
luck,6.786262730726612,116.0,9.0
medication,6.775150579826488,260.0,113.0
might not,6.7723100995352015,110.0,6.0
need,6.754467451420826,1546.0,1568.0
guaranteed,6.746564168967148,415.0,257.0
treatment it,6.677522396959779,111.0,8.0
detox,6.672021933172715,255.0,112.0
feel,6.66189873780263,347.0,195.0
toxins,6.659465645261775,272.0,127.0
better,6.644249195991242,1270.0,1237.0
don't need,6.591322131072099,274.0,131.0
the magnetic,6.5910312827898485,97.0,2.0
bracelets have,6.5910312827898485,97.0,2.0
you're,6.5895357141481075,646.0,508.0
that,6.58063699256139,5531.0,6967.0
safer,6.573839976103582,524.0,377.0
unnecessary,6.5623640635300875,371.0,222.0
help with,6.559434745079782,316.0,170.0
by science,6.531997637438538,105.0,7.0
too,6.504731156012639,703.0,577.0
doctor if,6.4791509548197865,126.0,20.0
improve,6.455217455962345,677.0,551.0
gimmick,6.424583063944948,102.0,7.0
accurate,6.416341265662392,414.0,271.0
opinion,6.414535640071851,256.0,121.0
save your,6.4113608778750315,92.0,2.0
second,6.388668552418901,345.0,204.0
diagnosis and,6.3883881351910965,101.0,7.0
magnetic claim,6.341177580419742,86.0,0.0
and treatment,6.328094988372339,103.0,9.0
consult,6.326749538657087,239.0,109.0
high for,6.30819158063774,154.0,42.0
marketing gimmick,6.269374676228141,94.0,5.0
just know,6.22958600509836,83.0,0.0
pain requires,6.226526885412128,87.0,2.0
not proven,6.218660033704772,128.0,26.0
cautious with,6.210617495615173,98.0,8.0
lemon,6.2058167719185775,216.0,93.0
your body,6.197152060153676,180.0,64.0
cautious the,6.188900235237973,86.0,2.0
there is,6.179501092463538,887.0,814.0
no proven,6.161276638183449,151.0,43.0
proper diagnosis,6.160443716763777,117.0,20.0
strongly,6.133698203472938,178.0,64.0
fine just,6.133035416928044,103.0,12.0
i strongly,6.11595925342355,80.0,0.0
natural,6.104299290991977,268.0,142.0
would not,6.076845194207441,130.0,30.0
it's your,6.075308819640825,81.0,1.0
water is,6.07497495914923,268.0,143.0
you feel,6.059609878265393,148.0,43.0
delay,6.054068350852229,253.0,130.0
healthy,6.050627206466889,380.0,253.0
physiotherapist,6.038343398332739,97.0,10.0
the magnets,6.000181704768224,77.0,0.0
guarantee,5.984599507713564,463.0,343.0
just make,5.983320418363401,92.0,8.0
if you're,5.983142440634546,313.0,189.0
strongly advise,5.976252846127365,90.0,7.0
paying,5.975986226639281,238.0,119.0
water's,5.961089640570969,76.0,0.0
good luck,5.944628129937079,91.0,8.0
i'd suggest,5.931236982880518,87.0,6.0
stimulants,5.922358981785572,83.0,4.0
science crystals,5.921739584376195,75.0,0.0
effective,5.916988060403128,849.0,789.0
requires proper,5.8983318751988,88.0,7.0
hurt but,5.892016831656248,86.0,6.0
better to,5.8855899815147374,179.0,71.0
reviews first,5.882126358466774,74.0,0.0
research it,5.843206055007542,81.0,4.0
water's properties,5.842244609593673,73.0,0.0
change water's,5.842244609593673,73.0,0.0
hope,5.839919411913156,75.0,1.0
arthritis,5.8285023016167035,176.0,70.0
proven to,5.820494341011145,137.0,40.0
crystal,5.813824728219027,98.0,14.0
supplement,5.807140655519259,191.0,83.0
i wouldn't,5.805955604852295,91.0,10.0
ion bracelets,5.799760466199955,74.0,1.0
water bottles,5.799760466199955,74.0,1.0
pain see,5.799760466199955,74.0,1.0
or cure,5.788530960114496,99.0,15.0
the liver,5.785257114889603,152.0,52.0
by scientific,5.762983197091238,79.0,4.0
a scam,5.759238825367544,138.0,42.0
crystals do,5.758876441384169,75.0,2.0
enjoy,5.75589768379988,103.0,18.0
you have,5.747372206171403,536.0,436.0
not change,5.745504291294687,115.0,26.0
okay but,5.739436890012109,84.0,7.0
watch for,5.7274860169356145,116.0,27.0
no physiological,5.726835675812703,80.0,5.0
wouldn't,5.724965934421166,99.0,16.0
please verify,5.72093187861123,70.0,0.0
scammers,5.710244374294298,97.0,15.0
is fine,5.702019288496955,320.0,207.0
medical care,5.696078707374173,95.0,14.0
your doctor,5.68707962101528,153.0,55.0
please consider,5.679918687734097,69.0,0.0
physiological basis,5.679918687734097,69.0,0.0
by buying,5.6786179655904,75.0,3.0
hair,5.677758342984367,323.0,211.0
but be,5.669621426428309,91.0,12.0
it helps,5.650128371387206,111.0,25.0
need to,5.640890698574044,475.0,374.0
basis that,5.638607259632381,68.0,0.0
still need,5.636312260523601,125.0,35.0
it is,5.630050187421109,805.0,758.0
mean safe,5.617435280390058,81.0,7.0
anecdotes are,5.5849213058712746,82.0,8.0
your liver,5.566433018994515,95.0,16.0
be prepared,5.561832543335344,90.0,13.0
better it,5.557448605077879,74.0,4.0
gimmick with,5.552720739813147,68.0,1.0
diagnosis,5.528115636226291,188.0,88.0
may save,5.520470389608153,75.0,5.0
can but,5.515439202648896,73.0,4.0
please see,5.51281626330588,65.0,0.0
a regular,5.486634960586434,114.0,30.0
cream,5.481150255269828,111.0,28.0
a myth,5.473955642024733,241.0,138.0
harmful,5.471679334146456,302.0,198.0
is a,5.45797761024207,1516.0,1673.0
a cheaper,5.435789481003911,73.0,5.0
consult a,5.431890558901941,164.0,70.0
kidneys,5.431890558901941,164.0,70.0
if it,5.428490460931499,391.0,293.0
proper medical,5.427336484600035,63.0,0.0
may still,5.426692406247947,195.0,97.0
may want,5.424377212445869,85.0,12.0
true,5.423796974528538,261.0,159.0
a calorie,5.421137296611167,93.0,17.0
diet,5.414393947774188,418.0,323.0
anxiety,5.402896969622566,251.0,150.0
but you,5.399501620235301,357.0,258.0
be harmful,5.395459069595649,103.0,24.0
don't rely,5.3865847905480955,110.0,29.0
that's unnecessary,5.384087813495299,62.0,0.0
your call,5.384087813495299,62.0,0.0
is enough,5.372994775302804,130.0,44.0
calorie,5.363732552525361,282.0,182.0
on it,5.363348975487157,115.0,33.0
unlikely to,5.343217103114628,153.0,63.0
the support,5.338131129711084,65.0,2.0
a dermatologist,5.337086607465938,138.0,51.0
loss,5.336183067564207,734.0,694.0
helps,5.3340432326244365,446.0,358.0
detoxes,5.332372864335522,76.0,8.0
can still,5.326945129821266,312.0,214.0
acne,5.320106541068197,135.0,49.0
not safe,5.300444131376244,112.0,32.0
can help,5.290091291263105,853.0,843.0
no supplement,5.270619299474112,83.0,13.0
dermatologist,5.267921125249649,146.0,59.0
not a,5.263593597312212,1923.0,2236.0
evidence does,5.261214807241751,111.0,32.0
try it,5.2551429935428615,81.0,12.0
just keep,5.252245298121287,65.0,3.0
necessary one,5.2522059289134155,59.0,0.0
keep,5.251138267102014,530.0,458.0
can save,5.245996843187275,138.0,53.0
pain the,5.21893197382331,85.0,15.0
i'd advise,5.205161897267417,60.0,1.0
i hope,5.205161897267417,60.0,1.0
water,5.20348305407008,1906.0,2221.0
even,5.164378787120774,685.0,647.0
that crystal,5.162413656249385,57.0,0.0
irritation,5.150884499455273,173.0,85.0
for pain,5.148010298860086,88.0,18.0
liver and,5.147764462593953,124.0,44.0
and kidneys,5.147764462593953,124.0,44.0
be unnecessary,5.138900116799935,75.0,10.0
crystal water,5.116926788784648,56.0,0.0
could save,5.11488136022708,60.0,2.0
what helps,5.11488136022708,60.0,2.0
helps not,5.1145908523071535,58.0,1.0
than needed,5.080869681392273,77.0,12.0
that copper,5.071807006242114,61.0,3.0
that's risky,5.069060351506633,59.0,2.0
enough,5.058982430642769,551.0,494.0
unlikely,5.038807908156786,199.0,112.0
irritate,5.037380323853717,164.0,80.0
talk to,5.033669494673175,108.0,34.0
therapy,5.033143096622049,234.0,146.0
oil is,5.024010439124799,144.0,63.0
a basic,5.019243649060045,88.0,20.0
a safe,5.01636435231462,133.0,54.0
is safer,5.015786573175121,180.0,95.0
a marketing,5.012023808758586,161.0,78.0
works,5.00648051363555,349.0,267.0
calorie deficit,4.998398664440418,115.0,40.0
check reviews,4.984193498659111,93.0,24.0
anecdotes,4.982314624525492,112.0,38.0
a little,4.957549495658783,79.0,15.0
proven effect,4.957549495658783,79.0,15.0
mind,4.9332300395030035,80.0,16.0
just don't,4.929610562649469,72.0,11.0
evidence it,4.92845554075825,173.0,91.0
prepared,4.916119132422954,97.0,28.0
expect a,4.913511299606359,70.0,10.0
heal,4.913511299606359,70.0,10.0
bottles,4.91229487828288,87.0,21.0
will likely,4.90748709894412,63.0,6.0
body,4.883059235555672,412.0,343.0
safer to,4.881032108866897,92.0,25.0
that magnetic,4.8808334109009905,53.0,1.0
deficit,4.868579710115055,123.0,49.0
worse,4.846276798362554,164.0,85.0
pain persists,4.837497846257381,65.0,8.0
i'd be,4.833498392082405,54.0,2.0
likely,4.810800390518871,711.0,704.0
treatments,4.793464698025795,169.0,91.0
buying a,4.790900570782907,69.0,11.0
be dangerous,4.758470956815294,96.0,30.0
stomach,4.752639317930194,148.0,73.0
watch,4.752551834494957,158.0,82.0
talk,4.751570793107592,120.0,49.0
know that,4.737337671417693,48.0,0.0
i did,4.737337671417693,48.0,0.0
use it,4.730663206279512,165.0,89.0
lemon water,4.724313026315373,87.0,24.0
circulation,4.724313026315373,87.0,24.0
said the,4.716315597685227,59.0,6.0
the opposite,4.716315597685227,59.0,6.0
drink,4.710373299582582,132.0,60.0
quote you,4.6877286954633846,47.0,0.0
please use,4.6877286954633846,47.0,0.0
a cure,4.677738301343005,201.0,125.0
is what,4.67141682430925,83.0,22.0
lead to,4.67124463843023,269.0,195.0
medical treatment,4.66196619421891,71.0,14.0
wrinkles,4.661350118338905,63.0,9.0
you should,4.653882904340996,407.0,349.0
careful with,4.640684719235629,52.0,3.0
crystals that,4.637589160438996,46.0,0.0
but won't,4.636807502866554,75.0,17.0
no better,4.636520990576786,50.0,2.0
artificial sweeteners,4.636520990576786,50.0,2.0
likely placebo,4.630066561345285,64.0,10.0
legitimate,4.620257056351825,225.0,151.0
prevent,4.615211064032754,380.0,320.0
sweeteners,4.606639355010528,55.0,5.0
the ingredients,4.606639355010528,55.0,5.0
relieve,4.5995397583073,80.0,21.0
a physiotherapist,4.581308031881656,63.0,10.0
if your,4.559309072176465,337.0,274.0
expectations,4.557507527217913,128.0,60.0
there's no,4.557139729122489,476.0,435.0
insomnia,4.551871836883761,129.0,61.0
opposite,4.546703418810669,59.0,8.0
your skin,4.546703418810669,59.0,8.0
the article,4.546703418810669,59.0,8.0
physiological,4.541570033281298,91.0,30.0
always true,4.5394334424655876,50.0,3.0
that's okay,4.535647846455291,44.0,0.0
no it,4.5347008996606535,80.0,22.0
check with,4.531052524216389,133.0,65.0
is usually,4.520271458228611,501.0,467.0
they do,4.51579822968727,162.0,92.0
expensive,4.508568635524468,166.0,96.0
before making,4.502249352173238,63.0,11.0
than necessary,4.499893907144735,75.0,19.0
it's fine,4.499893907144735,75.0,19.0
to lose,4.4965697047036315,58.0,8.0
joint pain,4.4965697047036315,58.0,8.0
medications,4.496128640605225,154.0,85.0
i'd strongly,4.483808275822497,43.0,0.0
cheaper one,4.483808275822497,43.0,0.0
enjoy the,4.481606230801925,45.0,1.0
and could,4.481202625358418,87.0,28.0
may have,4.46716386347848,343.0,285.0
that can,4.464894989719952,172.0,103.0
vet,4.460352125925728,177.0,108.0
a proven,4.45778431108085,181.0,112.0
rely on,4.45500988205021,192.0,123.0
pediatrician,4.453219615739222,81.0,24.0
strengthen,4.452533134095498,74.0,19.0
doctor before,4.445922931287731,57.0,8.0
than placebo,4.443799832905945,50.0,4.0
said it,4.443799832905945,50.0,4.0
enough that's,4.435923662085829,48.0,3.0
stimulants if,4.431362398983024,42.0,0.0
could lose,4.431362398983024,42.0,0.0
works you,4.431362398983024,42.0,0.0
fluids are,4.430891444810535,46.0,2.0
bracelet,4.429662530759096,55.0,7.0
magnetic therapy,4.429181834296775,44.0,1.0
ear,4.426144296507603,177.0,109.0
not guaranteed,4.414205354966548,157.0,90.0
be misleading,4.413252568593651,76.0,21.0
it's better,4.412687549526453,108.0,46.0
one label,4.406854733018348,80.0,24.0
help some,4.4063024806505915,144.0,78.0
is just,4.404727833526927,109.0,47.0
concerned,4.3790680501635,106.0,45.0
not crystals,4.378288427846209,41.0,0.0
effective please,4.378288427846209,41.0,0.0
a zinc,4.378288427846209,41.0,0.0
that magnets,4.378288427846209,41.0,0.0
flush toxins,4.377993364378928,45.0,2.0
bloating,4.377116248048211,78.0,23.0
shampoo,4.376408249319437,86.0,29.0
a big,4.374023025239614,62.0,12.0
proper care,4.362879025905084,52.0,6.0
dermatologist for,4.362879025905084,52.0,6.0
magnet,4.362879025905084,52.0,6.0
you take,4.361663844807931,57.0,9.0
olive oil,4.361491433262652,146.0,81.0
you want,4.354236405340572,285.0,225.0
be wrong,4.349617180374273,50.0,5.0
not the,4.3348620213809355,510.0,489.0
would still,4.330000114552073,46.0,3.0
expect dramatic,4.330000114552073,46.0,3.0
not support,4.327912807967976,113.0,52.0
choice just,4.324563237276906,40.0,0.0
boost energy,4.324563237276906,40.0,0.0
be premature,4.32445658495748,44.0,2.0
first it,4.32445658495748,44.0,2.0
brace,4.32339318772512,61.0,12.0
cure chronic,4.322433181058317,42.0,1.0
before paying,4.31785414476146,74.0,21.0
buying,4.316101036649379,149.0,85.0
loss requires,4.310180539375135,51.0,6.0
photos can,4.309915980954943,56.0,9.0
prescribed,4.304276897609777,87.0,31.0
boosts,4.296465870867827,49.0,5.0
improve circulation,4.296465870867827,49.0,5.0
not pay,4.296465870867827,49.0,5.0
first you,4.296465870867827,49.0,5.0
stopping,4.294798854844869,98.0,40.0
and exercise,4.291780111065359,88.0,32.0
feeling,4.2883861392497975,72.0,20.0
prepared for,4.2849702864023795,47.0,4.0
talking to,4.2849702864023795,47.0,4.0
not reliable,4.280633524604384,113.0,53.0
fake,4.276758348615686,100.0,42.0
shop around,4.272990832857122,52.0,7.0
invest,4.272258408989885,60.0,12.0
